MIFMP,USDI - NATIONAL PARK SERVICE (Father Marquette NM)
MIIRP,USDI - NATIONAL PARK SERVICE (Isle Royale NP)
MIKWP,USDI - NATIONAL PARK SERVICE (Keweenaw NHP)
MIPRP,USDI - NATIONAL PARK SERVICE (Pictured Rocks National Lakeshore)
MISDP,USDI - NATIONAL PARK SERVICE (Sleeping Bear Dunes National Lakeshore MI)
MNGPP,USDI - NATIONAL PARK SERVICE (Grand Portage NM)
MNMSP,USDI - NATIONAL PARK SERVICE (Mississippi NRA)
MNPSP,USDI - NATIONAL PARK SERVICE (Pipestone NM)
MNVOP,USDI - NATIONAL PARK SERVICE (Voyageurs NP)
MOGWP,USDI - NATIONAL PARK SERVICE (Georgeshington Carver NM)
MOHTP,USDI - NATIONAL PARK SERVICE (Harry S. Truman NHS)
MOJEP,USDI - NATIONAL PARK SERVICE (Jefferson National Expansion Memorial)
MOOZP,USDI - NATIONAL PARK SERVICE (Ozark NSR)
MOUGP,USDI - NATIONAL PARK SERVICE (Ulysses S. Grant NHS)
MOWCP,USDI - NATIONAL PARK SERVICE (Wilson's Creek NB)
OHCVP,USDI - NATIONAL PARK SERVICE (Cuyahoga Valley NRA)
OHDAP,USDI - NATIONAL PARK SERVICE (Dayton Aviation Heritage NHP)
OHDBP,USDI - NATIONAL PARK SERVICE (David Berger NM)
OHFLP,USDI - NATIONAL PARK SERVICE (First Ladies NHS)
OHHCP,USDI - NATIONAL PARK SERVICE (Hopewell Culture NHP)
OHJGP,USDI - NATIONAL PARK SERVICE (James A. Garfield NHS)
OHPVP,USDI - NATIONAL PARK SERVICE (Perry's Victory & International Peace Memorial)
OHWHP,USDI - NATIONAL PARK SERVICE (William Howard Taft NHS)
WIAIP,USDI - NATIONAL PARK SERVICE (Apostle Islands NL)
WIIAP,USDI - NATIONAL PARK SERVICE (Ice Age NP)
WINCP,USDI - NATIONAL PARK SERVICE (North Country NST)
WISCP,USDI - NATIONAL PARK SERVICE (Saint Croix NSR)
IDCWF,USDA - FOREST SERVICE (Clearwater National Forest)
IDIPF,USDA - FOREST SERVICE (Idaho Panhandle National Forest)
IDNPF,USDA - FOREST SERVICE (Nez Perce National Forest)
MTBDF,USDA - FOREST SERVICE (Beaverhead/Deerlodge National Forest)
MTBRF,USDA - FOREST SERVICE (Bitterroot National Forest)
MTCNF,USDA - FOREST SERVICE (Custer National Forest)
MTFNF,USDA - FOREST SERVICE (Flathead National Forest)
MTGNF,USDA - FOREST SERVICE (Gallatin National Forest)
MTHNF,USDA - FOREST SERVICE (Helena National Forest)
MTKNF,USDA - FOREST SERVICE (Kootenai National Forest)
MTLCF,USDA - FOREST SERVICE (Lewis & Clark National Forest)
MTLNF,USDA - FOREST SERVICE (Lolo National Forest)
NDDPF,USDA - FOREST SERVICE (Dakota Prairie National Grasslands)
MTBLW,USDC - NATIONAL WEATHER SERVICE (NWS Billings Weather Service)
MTGFW,USDC - NATIONAL WEATHER SERVICE (Great Falls Weather Service)
MTGGW,USDC - NATIONAL WEATHER SERVICE (Glasgow Weather Service)
MTMSW,USDC - NATIONAL WEATHER SERVICE (Missoula Weather Service)
NDBMW,USDC - NATIONAL WEATHER SERVICE (Bismark Weather Service)
NDGFW,USDC - NATIONAL WEATHER SERVICE (Grand Forks Weather Service)
IDNIA,USDI - BUREAU OF INDIAN AFFAIRS (North Idaho Agency)
MTBFA,USDI - BUREAU OF INDIAN AFFAIRS (Blackfeet Agency)
MTCRA,USDI - BUREAU OF INDIAN AFFAIRS (Crow Agency)
MTFBA,USDI - BUREAU OF INDIAN AFFAIRS (Fort Belknap Agency)
MTFHA,USDI - BUREAU OF INDIAN AFFAIRS (Flathead Agency)
